sentenca_1	no dia vinte e dois  foram cinqüenta e quatro mil consultas
sentenca_2	mariz está na segunda metade do seu primeiro mandato de senador
sentenca_3	resposta  nunca falo de meus romances  e menos ainda deste
sentenca_4	em um quadro no canto esquerdo da tela aparecem cenas locais
sentenca_5	o chile até hoje ainda está nos treze por cento
sentenca_6	a abertura de novos grupos foi suspensa pelo governo
sentenca_7	voltamos porque essa relação com o público ainda não se esgotou
sentenca_8	itamar pode faltar a mercosul para ir à posse do presidente colombiano
sentenca_9	os resultados são esperados para a manhã de hoje
sentenca_10	no caso da tabela  a correção mensal está prevista na constituição
sentenca_11	o objeto relacional some no interior imaginário do corpo
sentenca_12	segundo ele  tramitam na justiça setenta e dois mil processos desse tipo
sentenca_13	tem lucro de um bilhão de dólares por ano
sentenca_14	talvez por causa das mudanças que eu busco na minha carreira
sentenca_15	lei antitruste gera crise no governo da sucursal de brasília
sentenca_16	busco o que meu coração  minha alma e minha inteligência querem
sentenca_17	o grupo vem de uma temporada no rio de janeiro
sentenca_18	a duração é de cinqüenta minutos  a sete reais cada ingresso
sentenca_19	anteontem  astronautas realizaram experiências científicas a bordo do ônibus espacial columbia
sentenca_20	os belgas reclamaram  mas o juiz não deu o pênalti
sentenca_21	assis também relativiza os riscos de uma explosão do consumo
sentenca_22	é cedo para se pensar em medidas de controle
sentenca_23	isso traria efeitos sobre os financiamentos habitacionais feitos com recursos da poupança
sentenca_24	márcio santos mostrou estar recuperado da tensão da estréia
sentenca_25	agora tudo isso acabou e eu fico tendo idéias estranhas
sentenca_26	isto aqui não é um colégio de moças e sim de adultos
sentenca_27	nas estações espaciais  são feitas experiências de diversos tipos
sentenca_28	a verdade é que não estou interessado em muitos deles
sentenca_29	é certo que o desfile pode sobreviver à mangueira
sentenca_30	o namoro de férias tem algumas diferenças dos outros tipos de relacionamento
sentenca_31	é um fator mais importante que o próprio custo do anúncio
sentenca_32	os intervalos dos telejornais são hoje mais valorizados
sentenca_33	ao espremer o saco de pano  a casca solta seu suco
sentenca_34	souza será responsável por coordenar o programa de governo do tucano
sentenca_35	a empresa oferece um serviço de vendas pelo telefone abaixo
sentenca_36	serão três espetáculos de teatro e três de dança
sentenca_37	o balanço também terá que contemplar referência do auditor independente
sentenca_38	muitos homens nunca transaram com uma grávida e me procuram
sentenca_39	o avanço da tecnologia fez esta divisão perder o sentido
sentenca_40	não posso obrigar o rivaldo a jogar fixo na frente
sentenca_41	o truque  segundo ele  é aproveitar bem a madrugada
sentenca_42	não é por acaso que o detetive dessas histórias é um padre
sentenca_43	o receio era de que eles fossem descobertos pelos soldados
sentenca_44	ao mesmo tempo  consagrou pintores apenas por mérito temático
sentenca_45	mário de andrade o converte em protótipo do artista nacional
sentenca_46	a operação é feita através da emissão de notas fiscais frias
sentenca_47	dois irmãos gêmeos jogam na seleção da holanda  adversária do brasil
sentenca_48	o brasil está perdendo pouco a pouco a sua identidade
sentenca_49	é mais importante saber o que fazem jogadores no campo
sentenca_50	os produtores é que andam muito tímidos  não assumem riscos
sentenca_51	muito foi retirado embaixo e outro tanto acrescido em cima
sentenca_52	a atividade agrícola  aliás  é de um filho de bisol
sentenca_53	nos seus deslocamentos para ir ao dentista  itamar apresentava mau humor
sentenca_54	comprei um jogo de canetas e fui visitá lo em sua casa
sentenca_55	meu tipo inesquecível é o advogado francisco rangel pestana
sentenca_56	perdoe o leitor por essas considerações inspiradas no clima de evocação natalino
sentenca_57	jogo da holanda é mais variado que o do brasil
sentenca_58	nas finalizações  a holanda ganha de oitenta a sessenta e três
sentenca_59	o brasil só leva vantagem na penetração e na pontaria
sentenca_60	empregado do parlamento europeu  ele tinha ligações com a bancada socialista
sentenca_61	os danos são avaliados em cerca de dois milhões de dólares
sentenca_62	devem estar vendo as américas sob uma ótica totalmente deturpada
sentenca_63	a maior parte dos títulos raros está em rolos com essa largura
sentenca_64	ele controla as principais operações do micro e é considerado seu cérebro
sentenca_65	os jogadores treinaram pênaltis pela segunda vez na semana
sentenca_66	aí estão alguns endereços para você se divertir muito por lá
sentenca_67	o vocabulário da sexualidade foi reaparecendo progressivamente há dez anos
sentenca_68	junto dela  havia vinte e dois livros com a contabilidade do bicheiro
sentenca_69	a agência já possui cerca de vinte e cinco profissionais cadastrados
sentenca_70	se houver pênalti durante o jogo  o cobrador deverá ser bebeto
sentenca_71	casal de argentinos reclama de hotel de luxo em salvador
sentenca_72	nem sempre a hospitalidade baiana faz jus à fama
sentenca_73	no hotel  eles foram informados que não havia apartamento disponível
sentenca_74	a lei estabelece maio como referência para este cálculo
sentenca_75	as entradas podem ser adquiridas pelo telefone acima
sentenca_76	é a segunda greve convocada pelos aeroportuários em um mês
sentenca_77	aliados do tucano prevêem que essas lideranças ficarão neutras
sentenca_78	nas cobranças de lateral  só aparecia o pé do jogador
sentenca_79	no jogo contra honduras  a única imagem era gerada pela globo
sentenca_80	as consultas podem ser feitas por telefone ou por computador
